j,i,d,r
International Journal of Social Science and Humanity,2010-3646,10-Feb-16,Suspected editorial misconduct by publisher
"International Journal of Bioscience, Biochemistry and Bioinformatics",2010-3638,10-Feb-16,Suspected editorial misconduct by publisher
GRANT journal,1805-0638,8-Feb-16,Journal not adhering to Best practice
Ad Alta: Journal of Interdisciplinary Research,1804-7890,3-Feb-16,Journal not adhering to Best practice
Michigan Journal of Business,1941-5745,2-Feb-16,has not published enough articles this calendar year
Iranian Journal of Medical Physics,2252-0309,28-Jan-16,No communication 
Socialinis Darbas: Patirtis ir Metodai,2029-0470,27-Jan-16,Journal not adhering to Best practice
Gold Bulletin,2190-7579,27-Jan-16,Journal is no longer open access
Civil And Environmental Engineering Reports,2080-5187,23-Jan-16,the print title was added to Doaj
Contemporary Educational Technology,1309-517X,22-Jan-16,Journal not adhering to Best practice
Journal of International Dental and Medical Research,1309-100X,22-Jan-16,Journal not adhering to Best practice
Pragmatic and Observational Research,1179-7266,22-Jan-16,has not published enough articles this calendar year
Publicaciones DidÃ¡cticas,1989-7073,21-Jan-16,Journal not adhering to Best practice
Revista EletrÃ´nica PESQUISEDUCA,2177-1626,21-Jan-16,Journal not adhering to Best practice
Via AtlÃ¢ntica,2317-8086,21-Jan-16,Journal not adhering to Best practice
La Zaranda de Ideas : Revista de JÃ_venes Investigadores en ArqueologÃ_a,1669-7456,21-Jan-16,Journal not adhering to Best practice
Sintagma. Revista de LingÃ_Ã_stica,0214-9141,21-Jan-16,Journal not adhering to Best practice
"Revista Latinoamericana de Estudios Sobre Cuerpos, Emociones y Sociedad (RELACES)",1852-8759,21-Jan-16,Journal not adhering to Best practice
Paremia,1132-8940,21-Jan-16,Journal not adhering to Best practice
Revista Nacional de AdministraciÃ_n,1659-4908,21-Jan-16,Journal not adhering to Best practice
Serie BibliotecologÃ_a y GestiÃ_n de InformaciÃ_n,0718-1701,21-Jan-16,Journal not adhering to Best practice
Revista SaÃºde.Com,1809-0761,21-Jan-16,Journal not adhering to Best practice
Interdisciplinarity in Engineering,2285-0945,15-Jan-16,Ceased publishing
Journal of Agriculture and Social Sciences,1813-2235,14-Jan-16,Ceased publishing
International Journal of Baudrillard Studies,1705-6411,13-Jan-16,Publisher will not submit a new application within the given time period for reapplications
Galen Medical Journal,2228-5423,8-Jan-16,Ceased publishing
Journal of Livestock Science,2277-6214,8-Jan-16,Journal not adhering to Best practice
"International Journal of Interferon, Cytokine and Mediator Research",1179-139X,7-Jan-16,Has not published enough articles this calendar year
Journal of Experimental Pharmacology,1179-1454,7-Jan-16,Has not published enough articles this calendar year
Canadian Social Science,1712-8056,5-Jan-16,Suspected editorial misconduct by publisher
Studies in Literature and Language ,1923-1555,5-Jan-16,Suspected editorial misconduct by publisher
Cross-Cultural Communication,1712-8358,5-Jan-16,Suspected editorial misconduct by publisher
International Review of Geographical Information Science and Technology,1578-5157,5-Jan-16,Inactive (has not published in the last calender year)
ITALICS,1473-7507,4-Jan-16,Inactive (has not published in the last calender year)
International Journal of Emerging Sciences,2222-4254,4-Jan-16,Inactive (has not published in the last calender year)
Built & Human Environment Review,1759-0574,4-Jan-16,Web site URL no longer works
Trabalho & EducaÃ§Ã£o,1516-9537,4-Jan-16,Journal not adhering to Best practice
Revista de Teoria da HistÃ_ria,2175-5892,4-Jan-16,Journal not adhering to Best practice
EspaÃ§o JurÃ_dico : Journal of Law,2179-7943,4-Jan-16,Journal not adhering to Best practice
Revista da Faculdade de EducaÃ§Ã£o (Universidade do Estado de Mato Grosso),1679-4273,4-Jan-16,Journal not adhering to Best practice
Revista Virtual de QuÃ_mica,1984-6835,4-Jan-16,Journal not adhering to Best practice
BoletÃ_n de PediatrÃ_a,0214-2597,4-Jan-16,Journal not adhering to Best practice
Bulletin of Taras Shevchenko National University of Kyiv. Series : Problems of Physiological Functions Regulation,1728-2624,3-Jan-16,Inactive (has not published in the last calender year)
Bulletin of Taras Shevchenko National University of Kyiv. Series: Biology,1728-2748,3-Jan-16,Web site URL no longer works (Ukrainian)
English Teaching : Practice and Critique,1175-8708,30-Dec-15,Journal is no longer open access
International Journal of Advancements in Technology,0976-4860,30-Dec-15,Web site URL no longer works
Global Engineers and Technologists Review,2231-9700,30-Dec-15,Web site URL no longer works
International Journal of Engineering and Computer Science,2319-7242,30-Dec-15,Journal not adhering to Best practice
International Journal of Pharmaceutical Research and Development,0974-9446,28-Dec-15,Web site URL no longer works
Cuadernos de Vivienda y Urbanismo,2027-2103,22-Dec-15,Journal not adhering to Best practice
SÃ_culum : Revista de HistÃ_ria,0104-8929,22-Dec-15,Journal not adhering to Best practice
Morfismos,1870-6525,22-Dec-15,Journal not adhering to Best practice
E.I.A.L. : Estudios Interdisciplinarios de America Latina y el Caribe,0792-7061,21-Dec-15,Journal not adhering to Best practice
Chinese Southern Diaspora Studies,1834-609X,17-Dec-15,Inactive (has not published in the last calender year)
Current Issues in Molecular Biology,1467-3037,15-Dec-15,Journal is no longer open access
International Journal of Biomedical and Advance Research,2229-3809,11-Dec-15,Journal not adhering to Best practice
"Drug, Healthcare and Patient Safety",1179-1365,8-Dec-15,Journal not adhering to Best practice
Clinical Audit,1179-2760,8-Dec-15,Has not published enough articles this calendar year
Journal of Defense Resources Management,2068-9403,8-Dec-15,Journal not adhering to Best practice
Annales Philosophici,2067-3159,8-Dec-15,Journal not adhering to Best practice
LucrÄƒri Å_tiinÅ£ifice : Management Agricol,1453-1410,7-Dec-15,Journal not adhering to Best practice
BILTOKI,1134-8984,4-Dec-15,Journal is no longer open access
Online Journal of Issues in Nursing,1091-3734,2-Dec-15,Journal is no longer open access
Catalan Historical Review,2013-407X,2-Dec-15,Journal not adhering to Best practice
Almanack,2236-4633,30-Nov-15,Journal not adhering to Best practice
Revista Observaciones FilosÃ_ficas,0718-3712,30-Nov-15,Journal not adhering to Best practice
Mutatis Mutandis : Revista Latinoamericana de TraducciÃ_n,2011-799X,27-Nov-15,Journal not adhering to Best practice
Innotec GestiÃ_n,1688-6607,27-Nov-15,Journal not adhering to Best practice
Advances in Medical Sciences,1896-1126,26-Nov-15,Journal is no longer open access
Journal of Research on History of Medicine,2251-886X,26-Nov-15,Journal not adhering to Best practice
Journal of respiratory medicine,2314-6958,25-Nov-15,Suspected editorial misconduct by publisher
International Online Journal of Educational Sciences ,1309-2707,24-Nov-15,Journal not adhering to Best practice
Revista Andina de Estudios PolÃ_ticos,2221-4135,23-Nov-15,Journal not adhering to Best practice
Scholars World : International Refereed Multidsciplinary Journal of Contemporary Research,2319-5789,19-Nov-15,Journal not adhering to Best practice
International Journal of Scientific Engineering and Technology,2277-1581,19-Nov-15,Journal not adhering to Best practice
International Journal of Research in Engineering and Advanced Technology,2320-8791,19-Nov-15,Journal not adhering to Best practice
South Eastern Europe Health Sciences Journal,2233-0186,18-Nov-15,Ceased publishing
Revista EspaÃ±ola de CardiologÃ_a,0300-8932,16-Nov-15,Journal is no longer open access
International Journal of Hematology-Oncology and Stem Cell Research,2008-3009,13-Nov-15,Journal not adhering to Best practice
Iranian Journal of Pathology,1735-5303,13-Nov-15,Journal not adhering to Best practice
Kansas Journal of Medicine,1948-2035,13-Nov-15,Journal not adhering to Best practice
Journal of Language Teaching and Research,1798-4769,13-Nov-15,Journal not adhering to Best practice
Cultura ,1817-0285,12-Nov-15,Journal not adhering to Best practice
Dermatology and Cosmetic,2008-7470,10-Nov-15,Journal not adhering to Best practice
Journal of School of Public Health and Institute of Public Health Research,1735-7586,10-Nov-15,Journal not adhering to Best practice
Journal of Dental Biomechanics,1758-7360,9-Nov-15,Ceased publishing
Common Ground Journal,1547-9129,4-Nov-15,Web site URL no longer works
Silpakorn University Science and Technology Journal,1905-9159,4-Nov-15,Journal not adhering to Best practice
"International Journal of Engineering, Mathematics and Computer Sciences",2321-5143,4-Nov-15,Ceased publishing
E-MÃ©moires de l'AcadÃ©mie Nationale de Chirurgie,1634-0647,4-Nov-15,Web site URL no longer works
STICEF,1764-7223,4-Nov-15,Web site URL no longer works
Biotemas,0103-1643,2-Nov-15,Journal not adhering to Best practice
Contribuciones a las Ciencias Sociales,1988-7833,2-Nov-15,Journal not adhering to Best practice
Research Journal of Pure Algebra ,2248-9037,30-Oct-15,Journal not adhering to Best practice
Review of research,2249-894X,27-Oct-15,Journal not adhering to Best practice
Management Science and Engineering,1913-0341,23-Oct-15,Suspected editorial misconduct by publisher
Progress in Applied Mathematics,1925-251X,23-Oct-15,Suspected editorial misconduct by publisher
Studies in Mathematical Sciences,1923-8444,23-Oct-15,Suspected editorial misconduct by publisher
Â Advances in Petroleum Exploration and Development,1925-542,23-Oct-15,Suspected editorial misconduct by publisher
International Business and Management,1923-841X,23-Oct-15,Suspected editorial misconduct by publisher
Energy Science and Technology,1923-8460,23-Oct-15,Suspected editorial misconduct by publisher
Studies in Sociology of Science,1923-0176,23-Oct-15,Suspected editorial misconduct by publisher
Advances in Natural Science,1715-7862,23-Oct-15,Suspected editorial misconduct by publisher
International Journal of Research in Sociology and Social Anthropology,2321-953X,22-Oct-15,Web site URL no longer works
Laissez-Faire,1683-9145,21-Oct-15,Journal not adhering to Best practice
Statistics Surveys,1935-7516,19-Oct-15,Journal not adhering to Best practice
Neurobehavioral HIV Medicine,1179-1497,16-Oct-15,Has not published enough articles this calendar year
Public Knowledge ,1948-3511,14-Oct-15,Web site URL no longer works
Revista Conatus : Filosofia de Spinoza ,1981-7517,14-Oct-15,Web site URL no longer works
Medica Innovatica,2278-7526,14-Oct-15,Web site URL no longer works
Revista SudHistoria,0718-9427,14-Oct-15,Web site URL no longer works
Porticvm : Revista d'Estudis Medievals,2014-0932,14-Oct-15,Web site URL no longer works
La Libellula : Rivista di Italianistica,2036-3133,14-Oct-15,Inactive (has not published in the last calender year)
Social Sciences Directory,2049-6869,14-Oct-15,Web site URL no longer works
Journal of Applied Collaborative Systems,2066-7450,14-Oct-15,Web site URL no longer works
Igdir University Journal of the Institute of Science and Technology,2146-0574,14-Oct-15,Web site URL no longer works
Far East Journal of Psychology and Business,2219-5440,14-Oct-15,Web site URL no longer works
"SovremennaÃ¢ Ekonomika : Problemy, Tendencii, Perspektivy ",2222-6532,14-Oct-15,Web site URL no longer works
Research and Scientific Journal of Public Health, 2228-7183,14-Oct-15,Web site URL no longer works
International Journal of West Asian Studies, 2229-8924,14-Oct-15,Web site URL no longer works
Persian Gulf Crop Protection,2251-9343,14-Oct-15,Web site URL no longer works
Bioscience Education Electronic Journal,1479-7860,14-Oct-15,Web site URL no longer works
Engineering Education,1750-0044,14-Oct-15,Web site URL no longer works
Enhancing Learning in the Social Sciences,1756-848X,14-Oct-15,Web site URL no longer works
Journal of Medical Ethics and History of Medicine,2008-0387,13-Oct-15,Ceased publishing
"Revista Sujeto, Subjetividad y Cultura",0719-1553,9-Oct-15,Web site URL no longer works
Journal: Research Journal of Medicine and Medical Sciences,1816-272X,9-Oct-15,Ceased publishing
Quaderni Della Ri-Vista,1824-3541,9-Oct-15,Ceased publishing
Bulletin of Italian Politics,1759-3077,9-Oct-15,Journal is no longer open access
International Journal of Scientific Research Engineering & Technology (IJSRET) ,2278-0882,9-Oct-15,Journal not adhering to Best practice
PVRI Review,0974-6013,5-Oct-15,Ceased publishing
Economic Analysis and Policy,0313-5926,3-Oct-15,Journal is no longer open access
Polish Journal of Cardiology,2083-8409,2-Oct-15,Journal is no longer open access
Medical Mycology,2083-5744,2-Oct-15,Journal is no longer open access
Clinical Dermatology,2083-6074,2-Oct-15,Journal is no longer open access
TechnolÃ_gia vzdelÃ¡vania,1335-033X,30-Sep-15,Ceased publishing
Brazilian Journal of Biomotricity,1981-6324,30-Sep-15,Web site URL no longer works
Theory and Practice in Language Studies ,1799-2591,30-Sep-15,Journal not adhering to Best practice
Psicologia : CiÃªncia e ProfissÃ£o,1414-9893,30-Sep-15,Journal not adhering to Best practice
World of Computer Science and Information Technology Journal,2221-0741,29-Sep-15,Journal not adhering to Best practice
Iranian Journal of Nuclear Medicine,1681-2824,28-Sep-15,Journal not adhering to Best practice
International Journal of Advanced Research,2320-5407,25-Sep-15,Journal not adhering to Best practice
International Journal of Advances in Engineering and Technology,2231-1963,25-Sep-15,Journal not adhering to Best practice
International Journal of Medical Sciences and Biotechnology,2321-8509,17-Sep-15,Journal not adhering to Best practice
